Instance,SVM Correct,Guess Correct
0,False,True
1,True,True
2,False,False
3,True,False
4,True,False
5,True,False
6,True,True
7,False,False
8,True,False
9,True,False
10,False,True
11,False,False
12,True,True
13,True,False
14,True,False
15,False,True
16,False,False
17,False,False
18,False,True
19,False,True
20,True,True
21,True,False
22,True,True
23,True,False
24,False,True
25,True,True
26,False,False
27,True,False
28,True,True
29,False,True
30,True,True
31,True,False
32,False,True
33,True,True
34,True,False
35,False,False
36,True,False
37,True,False
38,False,False
39,True,False
40,True,True
41,True,False
42,True,True
43,True,False
44,False,True
45,False,True
46,False,True
47,False,True
48,True,True
49,True,True
50,False,False
51,False,False
52,True,False
53,False,False
54,True,True
55,True,True
56,True,False
57,False,True
58,False,True
59,False,False
60,True,True
61,True,False
62,True,True
63,True,False
64,False,False
65,True,True
66,False,True
67,False,True
68,False,True
69,False,True
70,True,False
71,True,False
72,True,False
73,True,True
74,False,False
75,True,True
76,True,False
77,False,False
78,True,True
79,False,True
80,True,False
81,True,True
82,True,True
83,True,True
84,True,True
85,True,True
86,True,True
87,False,True
88,False,False
89,True,True
90,True,True
91,True,True
92,True,True
93,True,False
94,False,True
95,False,False
96,True,False
97,False,True
98,True,False
99,True,False
100,True,False
101,True,False
102,True,False
103,False,True
104,False,False
105,True,False
106,True,False
107,False,True
108,True,False
109,False,True
110,False,True
111,True,False
112,True,True
113,True,False
114,True,True
115,False,True
116,True,True
117,True,True
118,True,True
119,True,False
120,True,True
121,True,True
122,True,False
123,False,True
124,True,True
125,True,True
126,True,False
127,True,False
128,False,True
129,True,True
130,True,False
131,True,False
132,True,True
133,True,True
134,True,True
135,True,False
136,True,False
137,False,True
138,True,False
139,False,True
140,True,True
141,True,True
142,True,False
143,True,False
144,True,True
145,False,True
146,True,True
147,True,False
148,True,False
149,True,False
150,True,False
151,False,True
152,False,True
153,False,True
154,True,False
155,True,True
156,True,True
157,True,True
158,True,False
159,False,False
160,True,False
161,False,True
162,False,False
163,True,True
164,False,False
165,False,False
166,False,True
167,True,False
168,False,False
169,False,True
170,False,False
171,True,True
172,True,True
173,True,False
174,True,False
175,True,True
176,True,True
177,True,True
178,False,False
179,True,False
180,True,False
181,True,True
182,True,True
183,True,True
184,False,True
185,True,True
186,True,True
187,False,True
188,True,False
189,True,True
190,True,False
191,True,True
192,True,True
193,True,True
194,False,False
195,True,False
196,True,True
197,True,False
198,True,False
199,True,True
200,True,False
201,False,False
202,True,False
203,True,False
204,True,False
205,True,True
206,False,False
207,True,False
208,True,True
209,True,True
210,True,False
211,False,False
212,False,False
213,True,False
214,True,False
215,True,False
216,True,True
217,False,False
218,False,False
219,False,True
220,False,True
221,False,False
222,True,False
223,False,False
224,False,True
225,False,True
226,True,False
227,False,True
228,True,True
229,True,False
230,False,False
231,True,False
232,False,False
233,True,False
234,True,True
235,False,True
236,True,True
237,False,True
238,False,False
239,False,False
240,False,True
241,False,False
242,False,False
243,True,False
244,True,False
245,True,True
246,False,False
247,True,True
248,True,False
249,True,True
250,True,True
251,False,True
252,False,True
253,True,False
254,True,False
0,False,False
1,True,False
2,False,True
3,True,True
4,True,True
5,True,True
6,True,False
7,False,True
8,True,False
9,True,False
10,False,True
11,False,False
12,True,False
13,True,True
14,True,False
15,False,False
16,False,False
17,False,True
18,False,False
19,False,False
20,True,False
21,True,True
22,True,True
23,True,False
24,False,False
25,True,True
26,False,False
27,True,False
28,True,True
29,False,False
30,True,True
31,True,False
32,False,True
33,True,True
34,True,True
35,False,False
36,True,True
37,True,False
38,False,False
39,True,False
40,True,False
41,True,False
42,True,True
43,True,True
44,False,False
45,False,True
46,False,True
47,False,False
48,True,False
49,True,False
50,False,True
51,False,True
52,True,False
53,False,True
54,True,False
55,True,False
56,True,False
57,False,True
58,False,True
59,False,False
60,True,True
61,True,True
62,True,True
63,True,False
64,False,False
65,True,True
66,False,True
67,False,True
68,False,True
69,False,True
70,True,False
71,True,False
72,True,True
73,True,False
74,False,False
75,True,True
76,True,True
77,False,False
78,True,False
79,False,False
80,True,False
81,True,True
82,True,False
83,True,False
84,True,False
85,True,True
86,True,True
87,False,True
88,False,False
89,True,False
90,True,True
91,True,False
92,True,False
93,True,False
94,False,False
95,False,True
96,True,False
97,False,True
98,True,False
99,True,False
100,True,False
101,True,True
102,True,True
103,False,False
104,False,False
105,True,False
106,True,True
107,False,True
108,True,True
109,False,False
110,False,False
111,True,True
112,True,False
113,True,False
114,True,True
115,False,False
116,True,True
117,True,False
118,True,True
119,True,False
120,True,False
121,True,False
122,True,False
123,False,False
124,True,True
125,True,False
126,True,False
127,True,False
128,False,False
129,True,False
130,True,True
131,True,False
132,True,False
133,True,False
134,True,True
135,True,True
136,True,True
137,False,False
138,True,False
139,False,False
140,True,True
141,True,False
142,True,True
143,True,True
144,True,False
145,False,False
146,True,True
147,True,True
148,True,True
149,True,False
150,True,True
151,False,False
152,False,True
153,False,True
154,True,False
155,True,False
156,True,False
157,True,True
158,True,True
159,False,True
160,True,True
161,False,True
162,False,False
163,True,True
164,False,False
165,False,True
166,False,True
167,True,False
168,False,False
169,False,True
170,False,False
171,True,False
172,True,False
173,True,True
174,True,False
175,True,True
176,True,False
177,True,True
178,False,True
179,True,False
180,True,True
181,True,False
182,True,True
183,True,False
184,False,False
185,True,False
186,True,True
187,False,False
188,True,False
189,True,True
190,True,False
191,True,False
192,True,False
193,True,False
194,False,False
195,True,True
196,True,False
197,True,False
198,True,True
199,True,False
200,True,True
201,False,False
202,True,True
203,True,True
204,True,False
205,True,False
206,False,False
207,True,False
208,True,False
209,True,False
210,True,False
211,False,True
212,False,True
213,True,False
214,True,True
215,True,False
216,True,False
217,False,False
218,False,True
219,False,True
220,False,True
221,False,True
222,True,False
223,False,True
224,False,True
225,False,False
226,True,False
227,False,False
228,True,False
229,True,True
230,False,True
231,True,True
232,False,True
233,True,False
234,True,False
235,False,True
236,True,True
237,False,True
238,False,True
239,False,True
240,False,True
241,False,True
242,False,False
243,True,False
244,True,False
245,True,False
246,False,False
247,True,True
248,True,False
249,True,False
250,True,True
251,False,False
252,False,True
253,True,True
254,True,True
0,False,False
1,True,False
2,False,True
3,True,False
4,True,True
5,True,True
6,True,True
7,False,False
8,True,True
9,True,True
10,False,True
11,False,False
12,True,False
13,True,False
14,True,True
15,False,False
16,False,False
17,False,True
18,False,True
19,False,True
20,True,False
21,True,False
22,True,True
23,True,True
24,False,False
25,True,False
26,False,False
27,True,False
28,True,False
29,False,False
30,True,False
31,True,False
32,False,False
33,True,False
34,True,False
35,False,True
36,True,True
37,True,False
38,False,True
39,True,False
40,True,True
41,True,True
42,True,False
43,True,True
44,False,True
45,False,True
46,False,True
47,False,False
48,True,False
49,True,False
50,False,True
51,False,False
52,True,False
53,False,True
54,True,False
55,True,False
56,True,True
57,False,False
58,False,True
59,False,True
60,True,True
61,True,False
62,True,True
63,True,False
64,False,False
65,True,True
66,False,False
67,False,True
68,False,False
69,False,False
70,True,False
71,True,False
72,True,False
73,True,False
74,False,False
75,True,True
76,True,True
77,False,False
78,True,True
79,False,True
80,True,False
81,True,False
82,True,False
83,True,True
84,True,True
85,True,False
86,True,False
87,False,False
88,False,False
89,True,False
90,True,False
91,True,True
92,True,True
93,True,False
94,False,False
95,False,False
96,True,True
97,False,False
98,True,False
99,True,False
100,True,False
101,True,True
102,True,False
103,False,True
104,False,False
105,True,False
106,True,False
107,False,True
108,True,True
109,False,True
110,False,False
111,True,True
112,True,False
113,True,False
114,True,False
115,False,False
116,True,False
117,True,False
118,True,False
119,True,True
120,True,False
121,True,False
122,True,False
123,False,True
124,True,False
125,True,True
126,True,True
127,True,True
128,False,True
129,True,True
130,True,False
131,True,False
132,True,False
133,True,False
134,True,True
135,True,False
136,True,False
137,False,True
138,True,False
139,False,True
140,True,False
141,True,False
142,True,False
143,True,True
144,True,True
145,False,False
146,True,False
147,True,True
148,True,False
149,True,True
150,True,True
151,False,False
152,False,False
153,False,False
154,True,False
155,True,True
156,True,True
157,True,True
158,True,True
159,False,True
160,True,False
161,False,False
162,False,True
163,True,False
164,False,True
165,False,True
166,False,True
167,True,False
168,False,True
169,False,True
170,False,False
171,True,False
172,True,False
173,True,True
174,True,False
175,True,True
176,True,False
177,True,True
178,False,False
179,True,True
180,True,False
181,True,True
182,True,False
183,True,True
184,False,True
185,True,False
186,True,False
187,False,False
188,True,False
189,True,False
190,True,True
191,True,True
192,True,True
193,True,True
194,False,True
195,True,False
196,True,True
197,True,True
198,True,True
199,True,True
200,True,False
201,False,False
202,True,False
203,True,False
204,True,False
205,True,False
206,False,True
207,True,True
208,True,True
209,True,True
210,True,True
211,False,False
212,False,False
213,True,True
214,True,True
215,True,True
216,True,False
217,False,True
218,False,False
219,False,True
220,False,True
221,False,True
222,True,True
223,False,False
224,False,False
225,False,False
226,True,True
227,False,False
228,True,True
229,True,False
230,False,True
231,True,True
232,False,True
233,True,False
234,True,True
235,False,True
236,True,True
237,False,True
238,False,False
239,False,False
240,False,True
241,False,True
242,False,False
243,True,False
244,True,False
245,True,True
246,False,False
247,True,True
248,True,False
249,True,False
250,True,True
251,False,False
252,False,True
253,True,True
254,True,True
0,False,False
1,True,True
2,False,True
3,True,False
4,True,False
5,True,True
6,True,True
7,False,True
8,True,False
9,True,True
10,False,False
11,False,True
12,True,False
13,True,False
14,True,False
15,False,False
16,False,True
17,False,False
18,False,True
19,False,True
20,True,False
21,True,True
22,True,False
23,True,False
24,False,False
25,True,False
26,False,False
27,True,True
28,True,False
29,False,False
30,True,False
31,True,False
32,False,True
33,True,True
34,True,True
35,False,False
36,True,False
37,True,False
38,False,False
39,True,False
40,True,False
41,True,False
42,True,True
43,True,True
44,False,False
45,False,True
46,False,False
47,False,False
48,True,True
49,True,False
50,False,False
51,False,True
52,True,True
53,False,False
54,True,True
55,True,False
56,True,False
57,False,False
58,False,True
59,False,True
60,True,True
61,True,True
62,True,False
63,True,False
64,False,True
65,True,False
66,False,True
67,False,True
68,False,False
69,False,False
70,True,False
71,True,False
72,True,True
73,True,True
74,False,True
75,True,False
76,True,False
77,False,False
78,True,False
79,False,True
80,True,True
81,True,True
82,True,False
83,True,True
84,True,False
85,True,True
86,True,True
87,False,False
88,False,True
89,True,True
90,True,False
91,True,True
92,True,False
93,True,False
94,False,False
95,False,True
96,True,False
97,False,False
98,True,False
99,True,True
100,True,False
101,True,False
102,True,True
103,False,False
104,False,True
105,True,True
106,True,False
107,False,False
108,True,False
109,False,True
110,False,False
111,True,False
112,True,True
113,True,True
114,True,True
115,False,False
116,True,True
117,True,True
118,True,True
119,True,False
120,True,True
121,True,False
122,True,True
123,False,True
124,True,True
125,True,False
126,True,True
127,True,True
128,False,False
129,True,True
130,True,False
131,True,False
132,True,False
133,True,True
134,True,False
135,True,False
136,True,True
137,False,True
138,True,False
139,False,False
140,True,False
141,True,True
142,True,False
143,True,False
144,True,True
145,False,False
146,True,True
147,True,True
148,True,True
149,True,False
150,True,False
151,False,False
152,False,False
153,False,True
154,True,False
155,True,False
156,True,True
157,True,False
158,True,True
159,False,True
160,True,True
161,False,False
162,False,False
163,True,True
164,False,True
165,False,False
166,False,True
167,True,True
168,False,True
169,False,True
170,False,True
171,True,True
172,True,False
173,True,False
174,True,False
175,True,False
176,True,False
177,True,True
178,False,True
179,True,False
180,True,False
181,True,False
182,True,True
183,True,True
184,False,True
185,True,False
186,True,False
187,False,True
188,True,False
189,True,True
190,True,True
191,True,True
192,True,False
193,True,True
194,False,False
195,True,False
196,True,True
197,True,False
198,True,False
199,True,False
200,True,True
201,False,False
202,True,True
203,True,True
204,True,False
205,True,False
206,False,False
207,True,True
208,True,False
209,True,True
210,True,True
211,False,False
212,False,True
213,True,False
214,True,False
215,True,False
216,True,True
217,False,True
218,False,True
219,False,False
220,False,True
221,False,False
222,True,False
223,False,True
224,False,False
225,False,True
226,True,True
227,False,True
228,True,False
229,True,False
230,False,True
231,True,False
232,False,True
233,True,False
234,True,False
235,False,True
236,True,True
237,False,False
238,False,False
239,False,False
240,False,False
241,False,True
242,False,True
243,True,True
244,True,False
245,True,False
246,False,False
247,True,True
248,True,False
249,True,False
250,True,False
251,False,True
252,False,True
253,True,True
254,True,True
0,True,False
1,False,True
2,True,True
3,True,False
4,False,True
5,False,True
6,False,True
7,True,False
8,False,True
9,False,True
10,True,False
11,False,True
12,True,True
13,False,False
14,False,True
15,True,False
16,True,False
17,True,False
18,True,True
19,True,True
20,True,False
21,True,False
22,True,True
23,False,True
24,True,True
25,True,True
26,True,False
27,False,False
28,True,False
29,False,False
30,False,True
31,True,False
32,False,True
33,True,True
34,True,True
35,True,True
36,True,False
37,True,False
38,True,True
39,True,True
40,False,True
41,True,True
42,True,True
43,True,True
44,True,False
45,False,True
46,False,True
47,False,True
48,True,False
49,True,True
50,True,False
51,True,True
52,False,True
53,True,False
54,False,False
55,False,True
56,True,False
57,False,True
58,False,True
59,True,True
60,True,True
61,True,False
62,True,True
63,False,False
64,False,True
65,True,True
66,True,False
67,False,True
68,True,False
69,True,False
70,True,False
71,False,True
72,False,True
73,True,True
74,True,True
75,True,False
76,False,False
77,True,False
78,False,True
79,True,True
80,False,True
81,True,False
82,False,False
83,True,True
84,False,False
85,True,True
86,False,True
87,False,False
88,False,False
89,False,True
90,True,False
91,True,True
92,True,True
93,True,False
94,False,False
95,True,True
96,False,False
97,True,False
98,True,True
99,True,True
100,False,False
101,True,False
102,True,True
103,False,False
104,False,False
105,False,True
106,True,False
107,True,True
108,False,True
109,True,True
110,True,False
111,True,True
112,True,True
113,True,False
114,True,False
115,False,False
116,True,True
117,False,True
118,False,True
119,False,True
120,False,True
121,True,False
122,False,False
123,True,True
124,False,True
125,True,True
126,True,True
127,True,False
128,False,True
129,False,False
130,True,False
131,True,False
132,True,False
133,False,True
134,True,False
135,True,False
136,True,True
137,False,False
138,True,True
139,True,False
140,True,False
141,False,False
142,True,False
143,False,True
144,True,False
145,False,True
146,True,True
147,True,True
148,True,True
149,True,True
150,True,False
151,False,True
152,True,False
153,True,True
154,False,False
155,False,False
156,True,False
157,True,False
158,True,True
159,True,False
160,True,False
161,True,True
162,True,False
163,True,False
164,False,False
165,True,True
166,True,False
167,True,False
168,False,False
169,False,False
170,False,True
171,False,True
172,True,True
173,False,False
174,True,False
175,True,True
176,True,True
177,False,False
178,False,True
179,False,False
180,False,False
181,True,True
182,True,True
183,True,False
184,False,True
185,True,False
186,True,False
187,False,False
188,True,True
189,True,False
190,True,True
191,True,True
192,True,True
193,True,True
194,True,True
195,True,False
196,True,True
197,True,True
198,True,False
199,True,False
200,True,False
201,True,False
202,True,False
203,False,False
204,True,False
205,True,True
206,True,True
207,False,True
208,False,False
209,True,False
210,True,True
211,False,True
212,False,True
213,False,True
214,True,True
215,True,True
216,True,True
217,True,True
218,False,False
219,False,False
220,True,False
221,True,True
222,True,True
223,True,False
224,True,True
225,False,True
226,True,False
227,True,True
228,True,False
229,True,True
230,False,False
231,True,False
232,False,False
233,True,True
234,True,False
235,True,True
236,True,False
237,True,True
238,True,False
239,True,False
240,False,True
241,True,False
242,False,False
243,False,False
244,False,True
245,True,False
246,True,False
247,True,False
248,False,False
249,True,False
250,True,True
251,False,True
252,False,True
253,True,False
254,True,True
0,False,True
1,True,False
2,True,False
3,True,False
4,True,True
5,False,True
6,True,True
7,True,False
8,True,True
9,True,True
10,True,True
11,False,False
12,True,True
13,True,False
14,True,False
15,True,False
16,True,True
17,False,False
18,True,True
19,True,False
20,True,False
21,True,False
22,True,True
23,False,True
24,True,True
25,True,False
26,True,True
27,True,True
28,True,True
29,False,True
30,True,True
31,True,True
32,False,False
33,True,True
34,True,False
35,False,True
36,True,False
37,True,False
38,True,False
39,True,True
40,True,False
41,True,True
42,True,True
43,True,True
44,True,True
45,False,True
46,False,False
47,False,False
48,True,False
49,True,False
50,True,True
51,False,False
52,True,False
53,False,True
54,True,False
55,True,False
56,True,True
57,False,True
58,False,False
59,False,True
60,True,True
61,True,False
62,True,True
63,True,True
64,False,False
65,True,True
66,True,False
67,False,False
68,True,True
69,False,True
70,True,False
71,True,False
72,False,True
73,True,False
74,True,False
75,True,True
76,False,False
77,True,True
78,True,True
79,False,False
80,False,False
81,True,False
82,True,False
83,True,True
84,True,False
85,True,False
86,True,False
87,False,True
88,False,False
89,True,False
90,True,False
91,True,True
92,True,True
93,True,False
94,False,False
95,True,False
96,True,True
97,True,True
98,True,False
99,True,True
100,True,False
101,True,False
102,True,False
103,False,False
104,False,True
105,True,True
106,True,True
107,True,True
108,True,False
109,True,False
110,True,False
111,True,False
112,True,False
113,True,True
114,True,True
115,False,True
116,True,False
117,True,True
118,True,True
119,True,False
120,True,True
121,True,False
122,True,False
123,True,True
124,True,True
125,True,False
126,True,False
127,True,False
128,False,True
129,True,False
130,True,True
131,True,False
132,True,True
133,False,True
134,True,True
135,True,True
136,True,True
137,False,False
138,True,False
139,True,False
140,True,False
141,False,False
142,True,False
143,True,False
144,True,False
145,False,False
146,True,True
147,True,False
148,True,True
149,True,False
150,True,True
151,False,False
152,True,True
153,True,True
154,True,False
155,True,False
156,True,False
157,True,True
158,True,False
159,True,False
160,True,True
161,True,False
162,True,True
163,True,True
164,False,False
165,False,False
166,False,True
167,True,False
168,False,True
169,False,False
170,False,False
171,True,False
172,True,True
173,True,False
174,True,False
175,True,False
176,True,True
177,True,False
178,False,True
179,False,False
180,True,False
181,True,True
182,True,False
183,True,False
184,False,True
185,True,True
186,True,False
187,False,False
188,True,True
189,True,True
190,True,False
191,True,True
192,True,True
193,True,True
194,True,True
195,True,True
196,True,True
197,True,True
198,True,False
199,True,True
200,True,True
201,True,True
202,True,True
203,True,False
204,True,True
205,True,True
206,True,False
207,False,False
208,True,True
209,True,False
210,True,True
211,False,False
212,False,True
213,True,False
214,True,True
215,True,True
216,True,True
217,True,True
218,False,False
219,False,False
220,True,False
221,True,True
222,True,True
223,False,True
224,True,True
225,False,False
226,True,False
227,True,False
228,True,True
229,True,False
230,False,True
231,True,True
232,False,True
233,True,True
234,True,True
235,True,True
236,True,False
237,True,False
238,False,True
239,True,True
240,False,True
241,True,True
242,False,False
243,True,True
244,True,True
245,True,False
246,True,False
247,True,True
248,False,False
249,True,True
250,True,True
251,False,False
252,False,False
253,True,True
254,True,False
0,False,False
1,True,True
2,False,False
3,True,True
4,True,True
5,True,False
6,True,False
7,False,False
8,True,True
9,True,True
10,False,False
11,False,True
12,True,False
13,True,True
14,True,False
15,False,True
16,False,False
17,False,False
18,False,True
19,False,True
20,True,True
21,True,True
22,True,True
23,True,True
24,False,True
25,True,True
26,False,True
27,True,True
28,True,True
29,False,False
30,True,False
31,True,True
32,False,True
33,True,False
34,True,True
35,False,False
36,True,True
37,True,False
38,False,False
39,True,False
40,True,False
41,True,True
42,True,False
43,True,True
44,False,False
45,False,True
46,True,True
47,False,False
48,True,False
49,True,True
50,False,True
51,False,True
52,True,True
53,False,False
54,True,True
55,True,True
56,True,True
57,False,True
58,False,True
59,False,True
60,True,False
61,True,False
62,True,True
63,True,True
64,False,True
65,True,False
66,False,False
67,False,False
68,False,False
69,False,False
70,True,True
71,True,True
72,True,False
73,True,False
74,False,False
75,True,True
76,True,True
77,False,False
78,True,True
79,False,False
80,True,True
81,True,True
82,True,False
83,True,False
84,True,True
85,True,True
86,True,True
87,False,False
88,False,False
89,True,True
90,True,False
91,True,True
92,True,True
93,True,True
94,False,False
95,False,False
96,True,False
97,False,False
98,True,True
99,True,True
100,True,False
101,True,True
102,True,True
103,False,False
104,False,True
105,True,False
106,True,False
107,False,False
108,True,True
109,False,True
110,False,False
111,True,True
112,True,False
113,True,True
114,True,False
115,True,True
116,True,True
117,True,True
118,True,True
119,True,False
120,True,True
121,True,False
122,True,False
123,False,True
124,True,False
125,True,False
126,True,True
127,True,True
128,False,True
129,True,True
130,True,True
131,True,False
132,True,True
133,False,True
134,True,False
135,True,False
136,True,True
137,False,False
138,True,False
139,False,True
140,True,False
141,True,True
142,True,True
143,True,False
144,True,True
145,False,False
146,True,True
147,True,True
148,True,True
149,True,False
150,True,False
151,False,False
152,False,False
153,False,True
154,True,False
155,True,False
156,True,True
157,True,False
158,True,False
159,False,False
160,True,True
161,True,False
162,True,True
163,True,False
164,False,False
165,False,False
166,False,False
167,True,False
168,False,True
169,True,False
170,False,True
171,True,True
172,True,True
173,True,False
174,True,True
175,True,True
176,True,False
177,True,False
178,False,False
179,True,True
180,True,True
181,True,True
182,True,True
183,True,False
184,False,True
185,True,True
186,True,False
187,False,False
188,True,True
189,True,True
190,True,False
191,True,True
192,True,False
193,True,False
194,False,True
195,True,True
196,True,True
197,True,True
198,True,False
199,True,True
200,True,False
201,False,False
202,True,False
203,True,True
204,True,True
205,False,False
206,False,False
207,True,True
208,True,True
209,True,True
210,True,False
211,True,False
212,False,True
213,True,True
214,True,True
215,True,False
216,True,True
217,False,False
218,False,False
219,False,True
220,False,False
221,False,False
222,True,False
223,False,False
224,False,True
225,True,False
226,True,False
227,False,False
228,True,True
229,True,False
230,False,False
231,True,False
232,True,False
233,True,False
234,True,False
235,False,False
236,True,True
237,False,True
238,False,True
239,False,True
240,False,True
241,False,True
242,False,True
243,True,True
244,True,True
245,True,False
246,False,False
247,True,False
248,True,True
249,True,False
250,True,True
251,False,True
252,True,True
253,True,True
254,True,True
